numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2018,8,,GLAUBER BRAGA,PSOL,RJ,TELEFONIA,,RAMAL,77.43,0.00,77.43
2018,8,,HUGO LEAL,PSD,RJ,TELEFONIA,,RAMAL,47.34,0.00,47.34
2018,8,,INDIO DA COSTA,PSD,RJ,TELEFONIA,,RAMAL,29.72,0.00,29.72
2018,8,,JAIR BOLSONARO,PSL,RJ,TELEFONIA,,RAMAL,39.97,0.00,39.97
2018,8,,JANDIRA FEGHALI,PCdoB,RJ,TELEFONIA,,RAMAL,190.08,0.00,190.08
2018,8,,JEAN WYLLYS,PSOL,RJ,TELEFONIA,,RAMAL,73.16,0.00,73.16
2018,8,,JULIO LOPES,PP,RJ,TELEFONIA,,RAMAL,260.73,0.00,260.73
2018,8,,LAURA CARNEIRO,DEM,RJ,TELEFONIA,,RAMAL,143.35,0.00,143.35
2018,8,,LEONARDO PICCIANI,MDB,RJ,TELEFONIA,,RAMAL,81.34,0.00,81.34
2018,8,,LUIZ CARLOS RAMOS,PR,RJ,TELEFONIA,,RAMAL,170.90,0.00,170.90
2018,8,,LUIZ SÉRGIO,PT,RJ,TELEFONIA,,RAMAL,127.54,0.00,127.54
2018,8,,MARCELO DELAROLI,PR,RJ,TELEFONIA,,RAMAL,3.97,0.00,3.97
2018,8,,MARCELO MATOS,PSD,RJ,TELEFONIA,,RAMAL,261.31,0.00,261.31
2018,8,,MARCO ANTÔNIO CABRAL,MDB,RJ,TELEFONIA,,RAMAL,75.27,0.00,75.27
2018,8,,MARCOS SOARES,DEM,RJ,TELEFONIA,,RAMAL,24.82,0.00,24.82
2018,8,,MIRO TEIXEIRA,REDE,RJ,TELEFONIA,,RAMAL,31.22,0.00,31.22
2018,8,,OTAVIO LEITE,PSDB,RJ,TELEFONIA,,RAMAL,38.81,0.00,38.81
2018,8,,PAULO FEIJÓ,PR,RJ,TELEFONIA,,RAMAL,116.62,0.00,116.62
2018,8,,PEDRO PAULO,DEM,RJ,TELEFONIA,,RAMAL,23.69,0.00,23.69
2018,8,,ROBERTO SALES,DEM,RJ,TELEFONIA,,RAMAL,93.79,0.00,93.79
2018,8,,RODRIGO MAIA,DEM,RJ,TELEFONIA,,RAMAL,56.67,0.00,56.67
2018,8,,WADIH DAMOUS,PT,RJ,TELEFONIA,,RAMAL,59.48,0.00,59.48
2018,8,,ROSANGELA GOMES,PRB,RJ,TELEFONIA,,RAMAL,6.46,0.00,6.46
2018,8,,SERGIO ZVEITER,DEM,RJ,TELEFONIA,,RAMAL,88.16,0.00,88.16
2018,8,,SIMÃO SESSIM,PP,RJ,TELEFONIA,,RAMAL,107.68,0.00,107.68
2018,8,,SORAYA SANTOS,PR,RJ,TELEFONIA,,RAMAL,67.96,0.00,67.96
2018,8,,SÓSTENES CAVALCANTE,DEM,RJ,TELEFONIA,,RAMAL,21.18,0.00,21.18
2018,8,,WALNEY ROCHA,PATRI,RJ,TELEFONIA,,RAMAL,42.00,0.00,42.00
2018,7,,ALESSANDRO MOLON,PSB,RJ,TELEFONIA,,RAMAL,135.95,0.00,135.95
2018,7,,ALEXANDRE SERFIOTIS,PSD,RJ,TELEFONIA,,RAMAL,149.51,0.00,149.51
2018,7,,ALEXANDRE VALLE,PR,RJ,TELEFONIA,,RAMAL,69.39,0.00,69.39
2018,7,,ALTINEU CÔRTES,PR,RJ,TELEFONIA,,RAMAL,75.91,0.00,75.91
2018,7,,AROLDE DE OLIVEIRA,PSD,RJ,TELEFONIA,,RAMAL,117.34,0.00,117.34
2018,7,,AUREO,SD,RJ,TELEFONIA,,RAMAL,321.48,0.00,321.48
2018,7,,BENEDITA DA SILVA,PT,RJ,TELEFONIA,,RAMAL,56.62,0.00,56.62
2018,7,,CABO DACIOLO,PATRI,RJ,TELEFONIA,,RAMAL,87.67,0.00,87.67
2018,7,,CELSO JACOB,MDB,RJ,TELEFONIA,,RAMAL,36.90,0.00,36.90
2018,7,,CELSO PANSERA,PT,RJ,TELEFONIA,,RAMAL,128.26,0.00,128.26
2018,7,,CHICO ALENCAR,PSOL,RJ,TELEFONIA,,RAMAL,35.10,0.00,35.10
2018,7,,CHICO D'ANGELO,PDT,RJ,TELEFONIA,,RAMAL,31.65,0.00,31.65
2018,7,,CLARISSA GAROTINHO,PROS,RJ,TELEFONIA,,RAMAL,73.86,0.00,73.86
2018,7,,CRISTIANE BRASIL,PTB,RJ,TELEFONIA,,RAMAL,54.77,0.00,54.77
2018,7,,DELEY,PTB,RJ,TELEFONIA,,RAMAL,96.38,0.00,96.38
2018,7,,EZEQUIEL TEIXEIRA,PODE,RJ,TELEFONIA,,RAMAL,23.65,0.00,23.65
2018,7,,FELIPE BORNIER,PROS,RJ,TELEFONIA,,RAMAL,257.17,0.00,257.17
2018,7,,FRANCISCO FLORIANO,DEM,RJ,TELEFONIA,,RAMAL,131.43,0.00,131.43
2018,7,,GLAUBER BRAGA,PSOL,RJ,TELEFONIA,,RAMAL,47.58,0.00,47.58
2018,7,,HUGO LEAL,PSD,RJ,TELEFONIA,,RAMAL,66.86,0.00,66.86
2018,7,,INDIO DA COSTA,PSD,RJ,TELEFONIA,,RAMAL,7.50,0.00,7.50
2018,7,,JAIR BOLSONARO,PSL,RJ,TELEFONIA,,RAMAL,79.08,0.00,79.08
2018,7,,JANDIRA FEGHALI,PCdoB,RJ,TELEFONIA,,RAMAL,58.75,0.00,58.75
2018,7,,JEAN WYLLYS,PSOL,RJ,TELEFONIA,,RAMAL,65.73,0.00,65.73
2018,7,,JULIO LOPES,PP,RJ,TELEFONIA,,RAMAL,378.09,0.00,378.09
2018,7,,LAURA CARNEIRO,DEM,RJ,TELEFONIA,,RAMAL,95.85,0.00,95.85
2018,7,,LEONARDO PICCIANI,MDB,RJ,TELEFONIA,,RAMAL,64.31,0.00,64.31
2018,7,,LUIZ CARLOS RAMOS,PR,RJ,TELEFONIA,,RAMAL,113.65,0.00,113.65
2018,7,,LUIZ SÉRGIO,PT,RJ,TELEFONIA,,RAMAL,97.47,0.00,97.47
2018,7,,MARCELO DELAROLI,PR,RJ,TELEFONIA,,RAMAL,2.65,0.00,2.65
2018,7,,MARCELO MATOS,PSD,RJ,TELEFONIA,,RAMAL,167.00,0.00,167.00
2018,7,,MARCO ANTÔNIO CABRAL,MDB,RJ,TELEFONIA,,RAMAL,72.56,0.00,72.56
2018,7,,MARCOS SOARES,DEM,RJ,TELEFONIA,,RAMAL,26.08,0.00,26.08
2018,7,,MIRO TEIXEIRA,REDE,RJ,TELEFONIA,,RAMAL,8.06,0.00,8.06
2018,7,,OTAVIO LEITE,PSDB,RJ,TELEFONIA,,RAMAL,68.69,0.00,68.69
2018,7,,PAULO FEIJÓ,PR,RJ,TELEFONIA,,RAMAL,105.21,0.00,105.21
2018,7,,PEDRO PAULO,DEM,RJ,TELEFONIA,,RAMAL,14.52,0.00,14.52
2018,7,,ROBERTO SALES,DEM,RJ,TELEFONIA,,RAMAL,98.20,0.00,98.20
2018,7,,RODRIGO MAIA,DEM,RJ,TELEFONIA,,RAMAL,34.83,0.00,34.83
2018,7,,ROSANGELA GOMES,PRB,RJ,TELEFONIA,,RAMAL,5.38,0.00,5.38
2018,7,,SERGIO ZVEITER,DEM,RJ,TELEFONIA,,RAMAL,126.60,0.00,126.60
2018,7,,SIMÃO SESSIM,PP,RJ,TELEFONIA,,RAMAL,147.48,0.00,147.48
2018,7,,SORAYA SANTOS,PR,RJ,TELEFONIA,,RAMAL,42.96,0.00,42.96
2018,7,,SÓSTENES CAVALCANTE,DEM,RJ,TELEFONIA,,RAMAL,33.96,0.00,33.96
2018,7,,WADIH DAMOUS,PT,RJ,TELEFONIA,,RAMAL,78.88,0.00,78.88
2018,7,,WALNEY ROCHA,PATRI,RJ,TELEFONIA,,RAMAL,80.22,0.00,80.22
2018,6,,ALESSANDRO MOLON,PSB,RJ,TELEFONIA,,RAMAL,96.93,0.00,96.93
2018,6,,ALEXANDRE SERFIOTIS,PSD,RJ,TELEFONIA,,RAMAL,163.37,0.00,163.37
2018,6,,ALEXANDRE VALLE,PR,RJ,TELEFONIA,,RAMAL,91.79,0.00,91.79
2018,6,,ALTINEU CÔRTES,PR,RJ,TELEFONIA,,RAMAL,73.88,0.00,73.88
2018,6,,AROLDE DE OLIVEIRA,PSD,RJ,TELEFONIA,,RAMAL,118.01,0.00,118.01
2018,6,,AUREO,SD,RJ,TELEFONIA,,RAMAL,229.99,0.00,229.99
2018,6,,BENEDITA DA SILVA,PT,RJ,TELEFONIA,,RAMAL,44.78,0.00,44.78
2018,6,,CABO DACIOLO,PATRI,RJ,TELEFONIA,,RAMAL,161.70,0.00,161.70
2018,6,,CELSO JACOB,MDB,RJ,TELEFONIA,,RAMAL,18.45,0.00,18.45
2018,6,,CELSO PANSERA,PT,RJ,TELEFONIA,,RAMAL,115.23,0.00,115.23
2018,6,,CHICO ALENCAR,PSOL,RJ,TELEFONIA,,RAMAL,77.03,0.00,77.03
2018,6,,CHICO D'ANGELO,PDT,RJ,TELEFONIA,,RAMAL,55.93,0.00,55.93
2018,6,,CLARISSA GAROTINHO,PROS,RJ,TELEFONIA,,RAMAL,87.59,0.00,87.59
2018,6,,CRISTIANE BRASIL,PTB,RJ,TELEFONIA,,RAMAL,57.06,0.00,57.06
2018,6,,DELEY,PTB,RJ,TELEFONIA,,RAMAL,117.55,0.00,117.55
2018,6,,EZEQUIEL TEIXEIRA,PODE,RJ,TELEFONIA,,RAMAL,30.73,0.00,30.73
2018,6,,FELIPE BORNIER,PROS,RJ,TELEFONIA,,RAMAL,268.08,0.00,268.08
2018,6,,FRANCISCO FLORIANO,DEM,RJ,TELEFONIA,,RAMAL,381.73,0.00,381.73
2018,6,,GLAUBER BRAGA,PSOL,RJ,TELEFONIA,,RAMAL,36.82,0.00,36.82
2018,6,,HUGO LEAL,PSD,RJ,TELEFONIA,,RAMAL,64.45,0.00,64.45
2018,6,,INDIO DA COSTA,PSD,RJ,TELEFONIA,,RAMAL,52.95,0.00,52.95
2018,6,,JAIR BOLSONARO,PSL,RJ,TELEFONIA,,RAMAL,41.84,0.00,41.84
2018,6,,JANDIRA FEGHALI,PCdoB,RJ,TELEFONIA,,RAMAL,72.46,0.00,72.46
2018,6,,JEAN WYLLYS,PSOL,RJ,TELEFONIA,,RAMAL,67.56,0.00,67.56
2018,6,,JULIO LOPES,PP,RJ,TELEFONIA,,RAMAL,362.10,0.00,362.10
2018,6,,LAURA CARNEIRO,DEM,RJ,TELEFONIA,,RAMAL,126.25,0.00,126.25
2018,6,,LEONARDO PICCIANI,MDB,RJ,TELEFONIA,,RAMAL,77.70,0.00,77.70
2018,6,,LUIZ CARLOS RAMOS,PR,RJ,TELEFONIA,,RAMAL,207.59,0.00,207.59
2018,6,,LUIZ SÉRGIO,PT,RJ,TELEFONIA,,RAMAL,108.95,0.00,108.95
2018,6,,MARCELO DELAROLI,PR,RJ,TELEFONIA,,RAMAL,12.36,0.00,12.36
2018,6,,MARCELO MATOS,PSD,RJ,TELEFONIA,,RAMAL,166.24,0.00,166.24
2018,6,,MARCO ANTÔNIO CABRAL,MDB,RJ,TELEFONIA,,RAMAL,67.61,0.00,67.61
2018,6,,MARCOS SOARES,DEM,RJ,TELEFONIA,,RAMAL,13.39,0.00,13.39
2018,6,,MIRO TEIXEIRA,REDE,RJ,TELEFONIA,,RAMAL,14.50,0.00,14.50
2018,6,,OTAVIO LEITE,PSDB,RJ,TELEFONIA,,RAMAL,54.93,0.00,54.93
2018,6,,PAULO FEIJÓ,PR,RJ,TELEFONIA,,RAMAL,184.96,0.00,184.96
2018,6,,PEDRO PAULO,DEM,RJ,TELEFONIA,,RAMAL,16.40,0.00,16.40
2018,6,,ROBERTO SALES,DEM,RJ,TELEFONIA,,RAMAL,140.26,0.00,140.26
2018,6,,RODRIGO MAIA,DEM,RJ,TELEFONIA,,RAMAL,17.12,0.00,17.12
2018,6,,ROSANGELA GOMES,PRB,RJ,TELEFONIA,,RAMAL,19.76,0.00,19.76
2018,6,,SERGIO ZVEITER,DEM,RJ,TELEFONIA,,RAMAL,79.45,0.00,79.45
2018,6,,SIMÃO SESSIM,PP,RJ,TELEFONIA,,RAMAL,93.09,0.00,93.09
2018,6,,SORAYA SANTOS,PR,RJ,TELEFONIA,,RAMAL,100.20,0.00,100.20
2018,6,,SÓSTENES CAVALCANTE,DEM,RJ,TELEFONIA,,RAMAL,58.01,0.00,58.01
2018,6,,WADIH DAMOUS,PT,RJ,TELEFONIA,,RAMAL,65.86,0.00,65.86
2018,6,,WALNEY ROCHA,PATRI,RJ,TELEFONIA,,RAMAL,112.56,0.00,112.56
2018,6,,ZÉ AUGUSTO NALIN,DEM,RJ,TELEFONIA,,RAMAL,6.83,0.00,6.83
2018,5,,ALESSANDRO MOLON,PSB,RJ,TELEFONIA,,RAMAL,156.90,0.00,156.90
2018,5,,ALEXANDRE SERFIOTIS,PSD,RJ,TELEFONIA,,RAMAL,200.34,0.00,200.34
2018,5,,ALEXANDRE VALLE,PR,RJ,TELEFONIA,,RAMAL,83.55,0.00,83.55
2018,5,,ALTINEU CÔRTES,PR,RJ,TELEFONIA,,RAMAL,86.37,0.00,86.37
2018,5,,AROLDE DE OLIVEIRA,PSD,RJ,TELEFONIA,,RAMAL,97.52,0.00,97.52
2018,5,,AUREO,SD,RJ,TELEFONIA,,RAMAL,306.50,0.00,306.50
2018,5,,BENEDITA DA SILVA,PT,RJ,TELEFONIA,,RAMAL,115.97,0.00,115.97
2018,5,,CABO DACIOLO,PATRI,RJ,TELEFONIA,,RAMAL,114.21,0.00,114.21
2018,5,,CELSO PANSERA,PT,RJ,TELEFONIA,,RAMAL,127.67,0.00,127.67
2018,5,,CHICO ALENCAR,PSOL,RJ,TELEFONIA,,RAMAL,106.56,0.00,106.56
2018,5,,CHICO D'ANGELO,PDT,RJ,TELEFONIA,,RAMAL,46.50,0.00,46.50
2018,5,,CLARISSA GAROTINHO,PROS,RJ,TELEFONIA,,RAMAL,39.00,0.00,39.00
2018,5,,CRISTIANE BRASIL,PTB,RJ,TELEFONIA,,RAMAL,55.50,0.00,55.50
2018,5,,DELEY,PTB,RJ,TELEFONIA,,RAMAL,115.80,0.00,115.80
2018,5,,EZEQUIEL TEIXEIRA,PODE,RJ,TELEFONIA,,RAMAL,17.17,0.00,17.17
2018,5,,FELIPE BORNIER,PROS,RJ,TELEFONIA,,RAMAL,312.90,0.00,312.90
2018,5,,FRANCISCO FLORIANO,DEM,RJ,TELEFONIA,,RAMAL,405.01,0.00,405.01
2018,5,,GLAUBER BRAGA,PSOL,RJ,TELEFONIA,,RAMAL,63.60,0.00,63.60
2018,5,,HUGO LEAL,PSD,RJ,TELEFONIA,,RAMAL,99.67,0.00,99.67
2018,5,,INDIO DA COSTA,PSD,RJ,TELEFONIA,,RAMAL,42.77,0.00,42.77
2018,5,,JAIR BOLSONARO,PSL,RJ,TELEFONIA,,RAMAL,37.54,0.00,37.54
2018,5,,JANDIRA FEGHALI,PCdoB,RJ,TELEFONIA,,RAMAL,94.27,0.00,94.27
2018,5,,JEAN WYLLYS,PSOL,RJ,TELEFONIA,,RAMAL,63.52,0.00,63.52
2018,5,,JULIO LOPES,PP,RJ,TELEFONIA,,RAMAL,286.66,0.00,286.66
2018,5,,LAURA CARNEIRO,DEM,RJ,TELEFONIA,,RAMAL,99.99,0.00,99.99
2018,5,,LEONARDO PICCIANI,MDB,RJ,TELEFONIA,,RAMAL,83.16,0.00,83.16
2018,5,,LUIZ CARLOS RAMOS,PR,RJ,TELEFONIA,,RAMAL,213.55,0.00,213.55
2018,5,,LUIZ SÉRGIO,PT,RJ,TELEFONIA,,RAMAL,154.20,0.00,154.20
2018,5,,MARCELO DELAROLI,PR,RJ,TELEFONIA,,RAMAL,18.92,0.00,18.92
2018,5,,MARCELO MATOS,PSD,RJ,TELEFONIA,,RAMAL,180.94,0.00,180.94
2018,5,,MARCO ANTÔNIO CABRAL,MDB,RJ,TELEFONIA,,RAMAL,63.24,0.00,63.24
2018,5,,MARCOS SOARES,DEM,RJ,TELEFONIA,,RAMAL,20.75,0.00,20.75
2018,5,,MIRO TEIXEIRA,REDE,RJ,TELEFONIA,,RAMAL,20.12,0.00,20.12
2018,5,,OTAVIO LEITE,PSDB,RJ,TELEFONIA,,RAMAL,109.87,0.00,109.87
2018,5,,PAULO FEIJÓ,PR,RJ,TELEFONIA,,RAMAL,166.02,0.00,166.02
2018,5,,PEDRO PAULO,DEM,RJ,TELEFONIA,,RAMAL,16.60,0.00,16.60
2018,5,,ROBERTO SALES,DEM,RJ,TELEFONIA,,RAMAL,114.75,0.00,114.75
2018,5,,RODRIGO MAIA,DEM,RJ,TELEFONIA,,RAMAL,45.95,0.00,45.95
2018,5,,ROSANGELA GOMES,PRB,RJ,TELEFONIA,,RAMAL,17.52,0.00,17.52
2018,5,,SERGIO ZVEITER,DEM,RJ,TELEFONIA,,RAMAL,85.14,0.00,85.14
2018,5,,SIMÃO SESSIM,PP,RJ,TELEFONIA,,RAMAL,114.14,0.00,114.14
2018,5,,SORAYA SANTOS,PR,RJ,TELEFONIA,,RAMAL,79.11,0.00,79.11
2018,5,,SÓSTENES CAVALCANTE,DEM,RJ,TELEFONIA,,RAMAL,44.77,0.00,44.77
2018,5,,WADIH DAMOUS,PT,RJ,TELEFONIA,,RAMAL,66.61,0.00,66.61
2018,5,,WALNEY ROCHA,PATRI,RJ,TELEFONIA,,RAMAL,171.57,0.00,171.57
2018,5,,ZÉ AUGUSTO NALIN,DEM,RJ,TELEFONIA,,RAMAL,12.81,0.00,12.81
2018,4,,ALESSANDRO MOLON,PSB,RJ,TELEFONIA,,RAMAL,107.60,0.00,107.60
2018,4,,ALEXANDRE VALLE,PR,RJ,TELEFONIA,,RAMAL,52.80,0.00,52.80
2018,4,,ALEXANDRE SERFIOTIS,PSD,RJ,TELEFONIA,,RAMAL,210.68,0.00,210.68
2018,4,,ALTINEU CÔRTES,PR,RJ,TELEFONIA,,RAMAL,98.31,0.00,98.31
2018,4,,AROLDE DE OLIVEIRA,PSD,RJ,TELEFONIA,,RAMAL,149.47,0.00,149.47
2018,4,,AUREO,SD,RJ,TELEFONIA,,RAMAL,278.79,0.00,278.79
2018,4,,BENEDITA DA SILVA,PT,RJ,TELEFONIA,,RAMAL,62.55,0.00,62.55
2018,4,,CABO DACIOLO,PATRI,RJ,TELEFONIA,,RAMAL,160.39,0.00,160.39
2018,4,,CELSO PANSERA,PT,RJ,TELEFONIA,,RAMAL,146.30,0.00,146.30
2018,4,,CHICO ALENCAR,PSOL,RJ,TELEFONIA,,RAMAL,94.16,0.00,94.16
2018,4,,CHICO D'ANGELO,PDT,RJ,TELEFONIA,,RAMAL,46.24,0.00,46.24
2018,4,,CLARISSA GAROTINHO,PROS,RJ,TELEFONIA,,RAMAL,29.51,0.00,29.51
2018,4,,CRISTIANE BRASIL,PTB,RJ,TELEFONIA,,RAMAL,37.15,0.00,37.15
2018,4,,DEJORGE PATRÍCIO,PRB,RJ,TELEFONIA,,RAMAL,17.58,0.00,17.58
2018,4,,DELEY,PTB,RJ,TELEFONIA,,RAMAL,171.67,0.00,171.67
2018,4,,EZEQUIEL TEIXEIRA,PODE,RJ,TELEFONIA,,RAMAL,31.09,0.00,31.09
2018,4,,FELIPE BORNIER,PROS,RJ,TELEFONIA,,RAMAL,265.38,0.00,265.38
2018,4,,FRANCISCO FLORIANO,DEM,RJ,TELEFONIA,,RAMAL,388.59,0.00,388.59
2018,4,,GLAUBER BRAGA,PSOL,RJ,TELEFONIA,,RAMAL,46.69,0.00,46.69
2018,4,,HUGO LEAL,PSD,RJ,TELEFONIA,,RAMAL,52.56,0.00,52.56
2018,4,,INDIO DA COSTA,PSD,RJ,TELEFONIA,,RAMAL,53.53,0.00,53.53
2018,4,,JAIR BOLSONARO,PSL,RJ,TELEFONIA,,RAMAL,45.57,0.00,45.57
2018,4,,JANDIRA FEGHALI,PCdoB,RJ,TELEFONIA,,RAMAL,93.07,0.00,93.07
2018,4,,JEAN WYLLYS,PSOL,RJ,TELEFONIA,,RAMAL,66.33,0.00,66.33
2018,4,,JULIO LOPES,PP,RJ,TELEFONIA,,RAMAL,417.83,0.00,417.83
2018,4,,LAURA CARNEIRO,DEM,RJ,TELEFONIA,,RAMAL,179.48,0.00,179.48
2018,4,,LEONARDO PICCIANI,MDB,RJ,TELEFONIA,,RAMAL,83.75,0.00,83.75
2018,4,,LUIZ CARLOS RAMOS,PR,RJ,TELEFONIA,,RAMAL,125.10,0.00,125.10
2018,4,,LUIZ SÉRGIO,PT,RJ,TELEFONIA,,RAMAL,148.18,0.00,148.18
2018,4,,MARCELO DELAROLI,PR,RJ,TELEFONIA,,RAMAL,5.60,0.00,5.60
2018,4,,MARCELO MATOS,PSD,RJ,TELEFONIA,,RAMAL,162.20,0.00,162.20
2018,4,,MARCO ANTÔNIO CABRAL,MDB,RJ,TELEFONIA,,RAMAL,69.50,0.00,69.50
2018,4,,MARCOS SOARES,DEM,RJ,TELEFONIA,,RAMAL,67.11,0.00,67.11
2018,4,,MIRO TEIXEIRA,REDE,RJ,TELEFONIA,,RAMAL,35.14,0.00,35.14
2018,4,,OTAVIO LEITE,PSDB,RJ,TELEFONIA,,RAMAL,126.32,0.00,126.32
2018,4,,PAULO FEIJÓ,PR,RJ,TELEFONIA,,RAMAL,164.85,0.00,164.85
2018,4,,PEDRO PAULO,DEM,RJ,TELEFONIA,,RAMAL,40.02,0.00,40.02
2018,4,,ROBERTO SALES,DEM,RJ,TELEFONIA,,RAMAL,125.32,0.00,125.32
2018,4,,RODRIGO MAIA,DEM,RJ,TELEFONIA,,RAMAL,93.68,0.00,93.68
2018,4,,ROSANGELA GOMES,PRB,RJ,TELEFONIA,,RAMAL,9.27,0.00,9.27
2018,4,,SERGIO ZVEITER,DEM,RJ,TELEFONIA,,RAMAL,87.75,0.00,87.75
2018,4,,SIMÃO SESSIM,PP,RJ,TELEFONIA,,RAMAL,154.23,0.00,154.23
2018,4,,SORAYA SANTOS,PR,RJ,TELEFONIA,,RAMAL,89.45,0.00,89.45
2018,4,,SÓSTENES CAVALCANTE,DEM,RJ,TELEFONIA,,RAMAL,61.96,0.00,61.96
2018,4,,WADIH DAMOUS,PT,RJ,TELEFONIA,,RAMAL,84.28,0.00,84.28
2018,4,,WALNEY ROCHA,PATRI,RJ,TELEFONIA,,RAMAL,101.24,0.00,101.24
2018,4,,ZÉ AUGUSTO NALIN,DEM,RJ,TELEFONIA,,RAMAL,19.70,0.00,19.70
2018,3,,ALESSANDRO MOLON,PSB,RJ,TELEFONIA,,RAMAL,147.90,0.00,147.90
2018,3,,ALEXANDRE SERFIOTIS,PSD,RJ,TELEFONIA,,RAMAL,210.05,0.00,210.05
2018,3,,ALEXANDRE VALLE,PR,RJ,TELEFONIA,,RAMAL,95.24,0.00,95.24
2018,3,,ALTINEU CÔRTES,PR,RJ,TELEFONIA,,RAMAL,162.90,0.00,162.90
2018,3,,AROLDE DE OLIVEIRA,PSD,RJ,TELEFONIA,,RAMAL,148.14,0.00,148.14
2018,3,,AUREO,SD,RJ,TELEFONIA,,RAMAL,355.39,0.00,355.39
2018,3,,BENEDITA DA SILVA,PT,RJ,TELEFONIA,,RAMAL,93.69,0.00,93.69
2018,3,,CABO DACIOLO,PATRI,RJ,TELEFONIA,,RAMAL,132.61,0.00,132.61
2018,3,,CELSO PANSERA,PT,RJ,TELEFONIA,,RAMAL,112.73,0.00,112.73
2018,3,,CHICO ALENCAR,PSOL,RJ,TELEFONIA,,RAMAL,108.77,0.00,108.77
2018,3,,CHICO D'ANGELO,PDT,RJ,TELEFONIA,,RAMAL,77.31,0.00,77.31
2018,3,,CRISTIANE BRASIL,PTB,RJ,TELEFONIA,,RAMAL,91.67,0.00,91.67
2018,3,,DEJORGE PATRÍCIO,PRB,RJ,TELEFONIA,,RAMAL,66.29,0.00,66.29
2018,3,,DELEY,PTB,RJ,TELEFONIA,,RAMAL,155.60,0.00,155.60
2018,3,,EZEQUIEL TEIXEIRA,PODE,RJ,TELEFONIA,,RAMAL,25.28,0.00,25.28
2018,3,,FELIPE BORNIER,PROS,RJ,TELEFONIA,,RAMAL,356.84,0.00,356.84
2018,3,,FRANCISCO FLORIANO,DEM,RJ,TELEFONIA,,RAMAL,395.93,0.00,395.93
2018,3,,GLAUBER BRAGA,PSOL,RJ,TELEFONIA,,RAMAL,62.37,0.00,62.37
2018,3,,HUGO LEAL,PSD,RJ,TELEFONIA,,RAMAL,69.19,0.00,69.19
2018,3,,INDIO DA COSTA,PSD,RJ,TELEFONIA,,RAMAL,127.13,0.00,127.13
2018,3,,JAIR BOLSONARO,PSL,RJ,TELEFONIA,,RAMAL,32.53,0.00,32.53
2018,3,,JANDIRA FEGHALI,PCdoB,RJ,TELEFONIA,,RAMAL,107.25,0.00,107.25
2018,3,,JEAN WYLLYS,PSOL,RJ,TELEFONIA,,RAMAL,75.39,0.00,75.39
2018,3,,JULIO LOPES,PP,RJ,TELEFONIA,,RAMAL,342.51,0.00,342.51
2018,3,,LAURA CARNEIRO,DEM,RJ,TELEFONIA,,RAMAL,197.89,0.00,197.89
2018,3,,LUIZ CARLOS RAMOS,PR,RJ,TELEFONIA,,RAMAL,265.03,0.00,265.03
2018,3,,LUIZ SÉRGIO,PT,RJ,TELEFONIA,,RAMAL,189.94,0.00,189.94
2018,3,,MARCELO DELAROLI,PR,RJ,TELEFONIA,,RAMAL,17.40,0.00,17.40
2018,3,,MARCELO MATOS,PSD,RJ,TELEFONIA,,RAMAL,229.65,0.00,229.65
